NO,PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUS,UNMET NEED,BULAN
531,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PENDULANGAN,103,6,JANUARI
532,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,RENGGEANG,197,15,JANUARI
533,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SALARRI,140,33,JANUARI
534,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TANGAN BARU,150,14,JANUARI
535,SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PALECE,180,1,JANUARI
536,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,MAPILI,279,83,JANUARI
537,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,UGIBARU,386,116,JANUARI
538,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RUMPA,460,76,JANUARI
539,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,KURMA,552,58,JANUARI
540,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BUKU,324,21,JANUARI
541,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONNE BONNE,253,41,JANUARI
542,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BEROANGIN,353,43,JANUARI
543,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SEGERANG,221,18,JANUARI
544,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONRA,402,108,JANUARI
545,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SATTOKO,106,8,JANUARI
546,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RAPPANG BARAT,432,24,JANUARI
547,SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,554,52,JANUARI
548,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA,489,97,JANUARI
549,SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAMBU,404,72,JANUARI
550,SULAWESI BARAT,POLEWALI MANDAR,LUYO,TENGGELANG,523,59,JANUARI
551,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BARU,587,73,JANUARI
552,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI,302,9,JANUARI
553,SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAPILI BARAT,362,12,JANUARI
554,SULAWESI BARAT,POLEWALI MANDAR,LUYO,SAMBALI WALI,394,13,JANUARI
555,SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA DAALA,441,16,JANUARI
556,SULAWESI BARAT,POLEWALI MANDAR,LUYO,LUYO,304,36,JANUARI
557,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI BARAT,220,31,JANUARI
558,SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUCCADI,264,2,JANUARI
559,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMASSANGAN,633,12,JANUARI
560,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,TONYAMAN,787,76,JANUARI
561,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,KUAJANG,691,41,JANUARI
562,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,PAKU,334,85,JANUARI
563,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,MIRRING,479,69,JANUARI
564,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,BATETANGNGA,1102,109,JANUARI
565,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,MAMMI,371,25,JANUARI
566,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,KALEOK,211,8,JANUARI
567,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,AMOLA,281,34,JANUARI
568,SULAWESI BARAT,POLEWALI MANDAR,BINUANG,REA,446,46,JANUARI
569,SULAWESI BARAT,POLEWALI MANDAR,BULO,BULO,152,17,JANUARI
570,SULAWESI BARAT,POLEWALI MANDAR,BULO,PULLIWA,479,73,JANUARI
571,SULAWESI BARAT,POLEWALI MANDAR,BULO,PATAMBANUA,163,0,JANUARI
572,SULAWESI BARAT,POLEWALI MANDAR,BULO,KAROMBANG,219,24,JANUARI
573,SULAWESI BARAT,POLEWALI MANDAR,BULO,DAALA TIMUR,160,1,JANUARI
574,SULAWESI BARAT,POLEWALI MANDAR,BULO,LENGGO,121,11,JANUARI
575,SULAWESI BARAT,POLEWALI MANDAR,BULO,SABURA,122,14,JANUARI
576,SULAWESI BARAT,POLEWALI MANDAR,BULO,SEPPORRAKI,141,2,JANUARI
577,SULAWESI BARAT,POLEWALI MANDAR,BULO,IHING,191,15,JANUARI
578,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,BALANIPA,450,87,JANUARI
579,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMMAJARRA,283,27,JANUARI
580,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,TAMANGGALLE,340,47,JANUARI
581,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,MOSSO,112,10,JANUARI
582,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,GALUNG TULUK,509,104,JANUARI
583,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,SABANG SUBIK,419,74,JANUARI
584,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PAMBUSUANG,836,51,JANUARI
585,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,BALA,826,131,JANUARI
586,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,LAMBANAN,69,11,JANUARI
587,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,LEGO,195,24,JANUARI
588,SULAWESI BARAT,POLEWALI MANDAR,BALANIPA,PALLIS,91,22,JANUARI
589,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,ANREAPI,214,8,JANUARI
590,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,DUAMPANUA,512,35,JANUARI
591,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,KELAPA DUA,341,14,JANUARI
592,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,PAPPANDANGAN,301,11,JANUARI
593,SULAWESI BARAT,POLEWALI MANDAR,ANREAPI,KUNYI,279,5,JANUARI
594,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,1216,49,JANUARI
595,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,424,36,JANUARI
596,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,619,73,JANUARI
597,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,778,16,JANUARI
598,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,347,55,JANUARI
599,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,322,18,JANUARI
600,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,325,52,JANUARI
601,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,240,3,JANUARI
602,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,334,11,JANUARI
603,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,283,50,JANUARI
604,SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,120,21,JANUARI
605,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,382,29,JANUARI
606,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,1684,136,JANUARI
607,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,469,30,JANUARI
608,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,403,9,JANUARI
609,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,355,31,JANUARI
610,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,211,4,JANUARI
611,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,688,48,JANUARI
612,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,259,6,JANUARI
613,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,574,11,JANUARI
614,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,84,7,JANUARI
615,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,252,28,JANUARI
616,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,213,7,JANUARI
617,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,579,73,JANUARI
618,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,361,22,JANUARI
619,SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,176,18,JANUARI
620,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,364,17,JANUARI
621,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,335,33,JANUARI
622,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,114,4,JANUARI
623,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,307,23,JANUARI
624,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,542,22,JANUARI
625,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,201,6,JANUARI
626,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,184,30,JANUARI
627,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,420,80,JANUARI
628,SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,177,6,JANUARI
629,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,1133,86,JANUARI
630,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,720,116,JANUARI
631,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,269,34,JANUARI
632,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,302,18,JANUARI
633,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,121,10,JANUARI
634,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,205,11,JANUARI
635,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,439,28,JANUARI
636,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,238,36,JANUARI
637,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,392,16,JANUARI
638,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,216,1,JANUARI
639,SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,279,27,JANUARI
640,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,504,49,JANUARI
641,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,544,35,JANUARI
642,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,1865,66,JANUARI
643,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,422,32,JANUARI
644,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,1076,35,JANUARI
645,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,241,3,JANUARI
646,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,185,2,JANUARI
647,SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,362,6,JANUARI
648,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PETOOSANG,206,36,FEBRUARI
649,SULAWESI BARAT,POLEWALI MANDAR,ALLU,MOMBI,255,13,FEBRUARI
650,SULAWESI BARAT,POLEWALI MANDAR,ALLU,KALUMAMMANG,206,36,FEBRUARI
651,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PAO-PAO,359,50,FEBRUARI
652,SULAWESI BARAT,POLEWALI MANDAR,ALLU,PUPPU URING,294,24,FEBRUARI
653,SULAWESI BARAT,POLEWALI MANDAR,ALLU,SARAGIAN,242,40,FEBRUARI
654,SULAWESI BARAT,POLEWALI MANDAR,ALLU,SAYOANG,96,7,FEBRUARI
655,SULAWESI BARAT,POLEWALI MANDAR,ALLU,ALU,231,38,FEBRUARI
656,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,210,10,FEBRUARI
657,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,324,26,FEBRUARI
658,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,273,27,FEBRUARI
659,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,307,17,FEBRUARI
660,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,324,18,FEBRUARI
661,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,236,17,FEBRUARI
662,SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,309,56,FEBRUARI
663,SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,217,4,FEBRUARI
664,SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,135,6,FEBRUARI
665,SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,206,8,FEBRUARI
666,SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,242,13,FEBRUARI
667,SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,204,4,FEBRUARI
668,SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,144,9,FEBRUARI
669,SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,175,10,FEBRUARI
670,SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,217,5,FEBRUARI
671,SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,869,16,FEBRUARI
672,SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,1055,80,FEBRUARI
673,SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,444,31,FEBRUARI
674,SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,546,54,FEBRUARI
675,SULAWESI BARAT,MAMUJU,PAPALANG,SALUKAYU,344,36,FEBRUARI
676,SULAWESI BARAT,MAMUJU,PAPALANG,SUKADAMAI,133,5,FEBRUARI
677,SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,275,13,FEBRUARI
678,SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,137,2,FEBRUARI
679,SULAWESI BARAT,MAMUJU,PAPALANG,BATU AMPA,232,26,FEBRUARI
680,SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,752,80,FEBRUARI
681,SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,558,14,FEBRUARI
682,SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,523,129,FEBRUARI
683,SULAWESI BARAT,MAMUJU,SAMPAGA,SAMPAGA,268,18,FEBRUARI
684,SULAWESI BARAT,MAMUJU,SAMPAGA,TANAMBUAH,97,10,FEBRUARI
685,SULAWESI BARAT,MAMUJU,SAMPAGA,SALUBARANA,114,13,FEBRUARI
686,SULAWESI BARAT,MAMUJU,SAMPAGA,LOSSO,176,16,FEBRUARI
687,SULAWESI BARAT,MAMUJU,KALUMPANG,KALUMPANG,67,5,FEBRUARI
688,SULAWESI BARAT,MAMUJU,KALUMPANG,KARATAUN,233,2,FEBRUARI
689,SULAWESI BARAT,MAMUJU,KALUMPANG,KARAMA,164,3,FEBRUARI
690,SULAWESI BARAT,MAMUJU,KALUMPANG,SIRAUN,121,2,FEBRUARI
691,SULAWESI BARAT,MAMUJU,KALUMPANG,TUMOGA,123,8,FEBRUARI
692,SULAWESI BARAT,MAMUJU,KALUMPANG,SALUMAKKI,114,1,FEBRUARI
693,SULAWESI BARAT,MAMUJU,KALUMPANG,POLIO,111,32,FEBRUARI
694,SULAWESI BARAT,MAMUJU,KALUMPANG,LIMBONG,120,6,FEBRUARI
695,SULAWESI BARAT,MAMUJU,KALUMPANG,SANDAPANG,116,2,FEBRUARI
696,SULAWESI BARAT,MAMUJU,KALUMPANG,KONDO BULO,130,23,FEBRUARI
697,SULAWESI BARAT,MAMUJU,KALUMPANG,MAKKALIKI,89,3,FEBRUARI
698,SULAWESI BARAT,MAMUJU,KALUMPANG,BATU MAKKADA,132,10,FEBRUARI
699,SULAWESI BARAT,MAMUJU,KALUMPANG,LASA',181,12,FEBRUARI
700,SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,560,80,FEBRUARI
701,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,136,7,FEBRUARI
702,SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,161,20,FEBRUARI
703,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,132,2,FEBRUARI
704,SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,145,21,FEBRUARI
705,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,131,3,FEBRUARI
706,SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,116,6,FEBRUARI
707,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,866,53,FEBRUARI
708,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,276,10,FEBRUARI
709,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,278,6,FEBRUARI
710,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,559,97,FEBRUARI
711,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,179,14,FEBRUARI
712,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,1112,68,FEBRUARI
713,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,667,158,FEBRUARI
714,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,314,8,FEBRUARI
715,SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,160,13,FEBRUARI
716,SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,388,47,FEBRUARI
717,SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,296,33,FEBRUARI
718,SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,306,23,FEBRUARI
719,SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,151,13,FEBRUARI
720,SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,370,12,FEBRUARI
721,SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,389,23,FEBRUARI
722,SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,296,61,FEBRUARI
723,SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,186,0,FEBRUARI
724,SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,192,16,FEBRUARI
725,SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,204,7,FEBRUARI
726,SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,196,9,FEBRUARI
727,SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,276,11,FEBRUARI
728,SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,249,29,FEBRUARI
729,SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,227,20,FEBRUARI
730,SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,157,13,FEBRUARI
731,SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,329,55,FEBRUARI
732,SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,362,37,FEBRUARI
733,SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,156,13,FEBRUARI
734,SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,119,30,FEBRUARI
735,SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,653,24,FEBRUARI
736,SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,187,29,FEBRUARI
737,SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,154,14,FEBRUARI
738,SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,158,10,FEBRUARI
739,SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,147,18,FEBRUARI
740,SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,355,32,FEBRUARI
741,SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,165,10,FEBRUARI
742,SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,170,15,FEBRUARI
743,SULAWESI BARAT,MAJENE,SENDANA,MOSSO,631,34,FEBRUARI
744,SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,209,56,FEBRUARI
745,SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,234,35,FEBRUARI
746,SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,358,32,FEBRUARI
747,SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,168,13,FEBRUARI
748,SULAWESI BARAT,MAJENE,SENDANA,BINANGA,110,6,FEBRUARI
749,SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,111,7,FEBRUARI
750,SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,95,23,FEBRUARI
751,SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,116,7,FEBRUARI
752,SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,105,7,FEBRUARI
753,SULAWESI BARAT,MAJENE,SENDANA,SENDANA,135,19,FEBRUARI
754,SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,211,9,FEBRUARI
755,SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,275,25,FEBRUARI
756,SULAWESI BARAT,MAJENE,SENDANA,"LIMBORO RAMBU-
RAMBU",144,7,FEBRUARI
757,SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,246,42,FEBRUARI
758,SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,200,18,FEBRUARI
759,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PASANGKAYU,2509,334,FEBRUARI
760,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,MARTAJAYA,283,33,FEBRUARI
761,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,PAKAVA,536,50,FEBRUARI
762,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,KARYA BERSAMA,460,30,FEBRUARI
763,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,AKO,604,60,FEBRUARI
764,SULAWESI BARAT,PASANGKAYU,PASANGKAYU,GUNUNG SARI,770,80,FEBRUARI
765,SULAWESI BARAT,PASANGKAYU,LARIANG,PARABU,204,17,FEBRUARI
766,SULAWESI BARAT,PASANGKAYU,LARIANG,KENANGAN,82,13,FEBRUARI
767,SULAWESI BARAT,PASANGKAYU,LARIANG,BAJAWALI,147,2,FEBRUARI
768,SULAWESI BARAT,PASANGKAYU,LARIANG,SINGGANI,288,26,FEBRUARI
769,SULAWESI BARAT,PASANGKAYU,LARIANG,KULU,156,20,FEBRUARI
770,SULAWESI BARAT,PASANGKAYU,LARIANG,BATU MATORU,170,21,FEBRUARI
771,SULAWESI BARAT,PASANGKAYU,LARIANG,BAMBAKORO,268,16,FEBRUARI
772,SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,724,89,FEBRUARI
773,SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,518,88,FEBRUARI
774,SULAWESI BARAT,PASANGKAYU,DAPURANG,TIRTABUANA,211,37,FEBRUARI
775,SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,388,39,FEBRUARI
776,SULAWESI BARAT,PASANGKAYU,DAPURANG,SARASA,312,39,FEBRUARI
777,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TAMMARUNANG,400,92,FEBRUARI
778,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SAPTANAJAYA,301,27,FEBRUARI
779,SULAWESI BARAT,PASANGKAYU,DURIPOKU,TARANGGI,147,13,FEBRUARI
780,SULAWESI BARAT,PASANGKAYU,DURIPOKU,SIPAKAINGA,140,18,FEBRUARI
781,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,646,76,FEBRUARI
782,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,680,24,FEBRUARI
783,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,652,28,FEBRUARI
784,SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,391,23,FEBRUARI
