PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAJENE,BANGGAE,BANGGAE,84,178,581,30,0,63,5,126,9,207,523
SULAWESI BARAT,MAJENE,BANGGAE,BARU,159,305,890,37,22,170,19,227,13,344,674
SULAWESI BARAT,MAJENE,BANGGAE,GALUNG,107,186,526,25,13,44,9,138,18,229,334
SULAWESI BARAT,MAJENE,BANGGAE,PALIPI SOREANG,89,157,397,25,3,23,8,84,9,165,347
SULAWESI BARAT,MAJENE,BANGGAE,PAMBOBORANG,107,141,416,25,3,186,14,91,10,170,384
SULAWESI BARAT,MAJENE,BANGGAE,PANGALI ALI,359,547,1610,88,19,368,47,362,40,571,1370
SULAWESI BARAT,MAJENE,BANGGAE,RANGAS,343,646,1604,62,4,128,25,389,30,698,1125
SULAWESI BARAT,MAJENE,BANGGAE,TOTOLI,197,298,847,31,14,45,21,203,19,380,704
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA,56,93,286,16,23,28,2,71,5,109,291
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BARUGA DHUA,75,101,246,6,4,4,4,65,11,95,181
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BAURUNG,194,300,890,48,0,19,25,220,23,349,755
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,BUTTU BARUGA,49,50,170,10,0,6,2,35,1,51,134
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG,98,162,571,19,1,12,1,151,9,184,411
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LABUANG UTARA,95,220,652,20,1,128,6,165,17,271,530
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,LEMBANG,174,349,992,25,0,137,14,251,21,389,674
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE,33,61,183,6,4,6,1,50,1,82,235
SULAWESI BARAT,MAJENE,BANGGAE TIMUR,TANDE TIMUR,57,105,300,12,0,10,2,75,14,118,218
SULAWESI BARAT,MAJENE,MALUNDA,BAMBANGAN,85,151,356,23,16,53,13,79,12,158,159
SULAWESI BARAT,MAJENE,MALUNDA,KAYUANGIN,58,116,288,23,11,11,10,53,8,114,221
SULAWESI BARAT,MAJENE,MALUNDA,LAMUNGANG BATU,58,117,303,13,46,1,2,87,9,149,142
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG,28,46,157,7,31,7,5,26,1,54,76
SULAWESI BARAT,MAJENE,MALUNDA,LOMBANG TIMUR,25,54,186,6,5,0,1,34,3,63,177
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG,72,130,333,15,6,6,5,71,7,157,226
SULAWESI BARAT,MAJENE,MALUNDA,LOMBONG TIMUR,58,71,214,14,64,10,6,41,6,94,129
SULAWESI BARAT,MAJENE,MALUNDA,MALIAYA,64,109,308,14,1,15,6,74,7,137,224
SULAWESI BARAT,MAJENE,MALUNDA,MALUNDA,44,83,313,11,3,0,0,92,7,154,271
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA,72,123,343,21,1,14,8,74,7,156,212
SULAWESI BARAT,MAJENE,MALUNDA,MEKKATTA SELATAN,60,96,208,16,2,0,10,41,3,89,141
SULAWESI BARAT,MAJENE,MALUNDA,SALUTAHONGAN,56,99,197,16,1,0,15,34,18,110,83
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG,24,48,154,8,0,9,1,37,7,74,124
SULAWESI BARAT,MAJENE,PAMBOANG,ADOLANG DHUA,46,46,161,7,2,27,2,41,1,77,113
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO,93,120,326,16,1,31,6,82,9,149,235
SULAWESI BARAT,MAJENE,PAMBOANG,BABABULO UTARA,52,69,205,8,0,46,0,51,2,100,184
SULAWESI BARAT,MAJENE,PAMBOANG,BALOMBONG,47,81,186,13,3,7,4,36,7,69,143
SULAWESI BARAT,MAJENE,PAMBOANG,BANUA ADOLANG,60,81,167,14,4,36,5,27,10,99,116
SULAWESI BARAT,MAJENE,PAMBOANG,BETTENG,67,67,180,16,0,76,4,34,9,88,160
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE,79,116,384,29,3,1,9,66,13,181,253
SULAWESI BARAT,MAJENE,PAMBOANG,BONDE UTARA,162,227,670,46,1,225,36,125,10,289,454
SULAWESI BARAT,MAJENE,PAMBOANG,BUTTU PAMBOANG,43,64,160,11,1,44,2,34,2,57,145
SULAWESI BARAT,MAJENE,PAMBOANG,LALAMPANUA,57,80,272,16,0,45,3,69,5,95,231
SULAWESI BARAT,MAJENE,PAMBOANG,PESULOANG,36,72,166,11,0,33,5,37,5,76,140
SULAWESI BARAT,MAJENE,PAMBOANG,SIMBANG,40,39,127,9,5,0,2,20,2,57,92
SULAWESI BARAT,MAJENE,PAMBOANG,SIRINDU,62,97,240,6,0,1,0,71,4,113,192
SULAWESI BARAT,MAJENE,PAMBOANG,TINAMBUNG,66,116,343,15,6,26,9,85,2,146,213
SULAWESI BARAT,MAJENE,SENDANA,BANUA SENDANA,50,79,210,11,0,29,3,49,10,102,139
SULAWESI BARAT,MAJENE,SENDANA,BINANGA,24,43,115,6,0,3,2,18,2,43,102
SULAWESI BARAT,MAJENE,SENDANA,BUKIT SAMANG,48,77,213,10,2,0,5,46,8,112,172
SULAWESI BARAT,MAJENE,SENDANA,LALATEDZONG,37,54,176,9,1,9,6,52,4,71,147
SULAWESI BARAT,MAJENE,SENDANA,LEPPANGANG,27,36,124,10,0,0,4,23,5,47,104
SULAWESI BARAT,MAJENE,SENDANA,LIMBORO RAMBU-RAMBU,50,61,160,14,1,17,7,31,9,79,117
SULAWESI BARAT,MAJENE,SENDANA,LIMBUA,62,87,258,15,1,10,0,57,7,123,185
SULAWESI BARAT,MAJENE,SENDANA,MOSSO,117,203,638,20,2,9,5,143,12,285,849
SULAWESI BARAT,MAJENE,SENDANA,MOSSO DHUA,51,86,222,8,0,1,2,68,6,124,155
SULAWESI BARAT,MAJENE,SENDANA,PAMINGGALAN,20,26,96,1,3,0,0,28,1,46,65
SULAWESI BARAT,MAJENE,SENDANA,PUNDAU,32,51,108,6,0,0,6,20,4,41,88
SULAWESI BARAT,MAJENE,SENDANA,PUTTADA,34,40,118,7,1,59,2,26,4,48,100
SULAWESI BARAT,MAJENE,SENDANA,SENDANA,28,54,139,9,2,26,0,32,3,57,230
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA,101,157,338,24,0,70,10,72,21,149,229
SULAWESI BARAT,MAJENE,SENDANA,TALLUBANUA UTARA,80,107,285,16,4,1,3,66,8,141,237
SULAWESI BARAT,MAJENE,SENDANA,TOTOLISI SENDANA,55,88,241,18,0,0,6,62,5,119,203
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,AWO,56,98,304,9,51,4,13,71,5,134,97
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,MANYAMBA,37,68,250,4,93,0,6,51,6,110,126
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,SEPPONG,57,67,224,6,11,0,2,49,13,108,189
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TALLAMBALAO,67,98,326,17,27,0,4,92,8,136,223
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO,71,104,311,19,1,95,6,79,7,120,227
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,TAMMERODO UTARA,79,100,321,10,4,26,8,76,13,124,272
SULAWESI BARAT,MAJENE,TAMMERODO SENDANA,ULIDANG,56,96,287,12,24,0,3,80,20,136,217
SULAWESI BARAT,MAJENE,TUBO SENDANA,BONDE BONDE,29,43,148,9,0,7,1,32,3,63,128
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG,64,163,492,25,14,40,5,106,6,248,401
SULAWESI BARAT,MAJENE,TUBO SENDANA,ONANG UTARA,21,59,167,16,0,0,1,33,4,65,125
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO,25,63,146,8,2,4,1,38,7,73,116
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO POANG,23,35,78,4,0,15,1,16,1,49,69
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO SELATAN,36,49,128,9,0,6,1,32,6,62,151
SULAWESI BARAT,MAJENE,TUBO SENDANA,TUBO TENGAH,31,37,142,6,0,5,2,29,8,63,116
SULAWESI BARAT,MAJENE,ULUMANDA,KABIRAAN,32,54,223,10,14,46,2,53,4,80,163
SULAWESI BARAT,MAJENE,ULUMANDA,PANGGALO,10,39,232,4,21,79,8,57,4,55,177
SULAWESI BARAT,MAJENE,ULUMANDA,POPENGA,8,45,149,4,0,107,0,30,8,64,128
SULAWESI BARAT,MAJENE,ULUMANDA,SALUTAMBUNG,46,47,217,8,0,156,6,52,4,89,173
SULAWESI BARAT,MAJENE,ULUMANDA,SAMBABO,22,49,140,7,1,30,5,42,3,62,118
SULAWESI BARAT,MAJENE,ULUMANDA,SULAI,29,75,169,14,0,1,4,27,10,73,165
SULAWESI BARAT,MAJENE,ULUMANDA,TANDEALLO,25,52,231,5,14,2,5,58,5,76,172
SULAWESI BARAT,MAJENE,ULUMANDA,ULUMANDA,45,87,258,12,3,138,7,63,4,92,228
SULAWESI BARAT,MAMASA,ARALLE,ARALLE,18,54,147,3,14,9,0,39,4,63,89
SULAWESI BARAT,MAMASA,ARALLE,ARALLE SELATAN,14,24,67,3,3,8,0,11,3,24,58
SULAWESI BARAT,MAMASA,ARALLE,ARALLE UTARA,17,28,117,2,2,18,1,33,2,33,104
SULAWESI BARAT,MAMASA,ARALLE,BARURU,14,32,118,3,0,3,3,20,2,31,61
SULAWESI BARAT,MAMASA,ARALLE,HAHANGAN,8,20,53,4,13,0,1,9,0,20,34
SULAWESI BARAT,MAMASA,ARALLE,KALABE,13,18,85,3,4,14,1,17,0,35,77
SULAWESI BARAT,MAMASA,ARALLE,PAMOSEANG PANGGA,17,16,67,3,13,0,3,15,2,31,45
SULAWESI BARAT,MAMASA,ARALLE,PANETEAN,10,33,95,1,2,0,1,23,0,32,89
SULAWESI BARAT,MAMASA,ARALLE,RALLE ANAK,9,18,59,6,4,10,1,9,1,27,46
SULAWESI BARAT,MAMASA,ARALLE,RALLEANAK UTARA,6,8,62,2,23,0,1,19,0,27,36
SULAWESI BARAT,MAMASA,ARALLE,UHAIDAHO,18,42,112,1,35,0,3,22,2,61,65
SULAWESI BARAT,MAMASA,ARALLE,UHAILANU,35,46,142,13,12,26,1,34,5,63,98
SULAWESI BARAT,MAMASA,BALLA,BALLA,24,41,209,2,0,0,1,38,1,45,204
SULAWESI BARAT,MAMASA,BALLA,BALLA BARAT,11,20,128,2,6,24,2,22,0,23,108
SULAWESI BARAT,MAMASA,BALLA,BALLA SATANETEAN,35,40,198,10,18,32,4,39,3,36,149
SULAWESI BARAT,MAMASA,BALLA,BALLA TIMUR,12,16,51,0,1,8,1,6,0,11,41
SULAWESI BARAT,MAMASA,BALLA,BALLA TUMUKA,13,18,123,4,0,74,4,24,1,18,106
SULAWESI BARAT,MAMASA,BALLA,BAMBAPUANG,9,13,89,2,0,3,3,9,0,12,75
SULAWESI BARAT,MAMASA,BALLA,PIDARA,11,18,76,3,3,2,0,8,0,8,69
SULAWESI BARAT,MAMASA,BALLA,SEPAKUAN,14,38,206,1,29,16,2,40,1,44,136
SULAWESI BARAT,MAMASA,BAMBANG,BALATANA,14,22,56,0,0,0,0,4,2,11,67
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG,35,46,168,6,0,14,3,29,3,49,166
SULAWESI BARAT,MAMASA,BAMBANG,BAMBANG TIMUR,14,28,112,3,0,13,0,18,0,16,113
SULAWESI BARAT,MAMASA,BAMBANG,LIMBADEBATA,16,39,113,1,1,22,2,19,1,19,109
SULAWESI BARAT,MAMASA,BAMBANG,MASOSO,6,14,60,2,0,0,0,12,1,10,65
SULAWESI BARAT,MAMASA,BAMBANG,MINANGA,36,61,197,5,1,30,0,17,1,41,154
SULAWESI BARAT,MAMASA,BAMBANG,MOKALLANG,8,15,52,4,0,0,0,5,0,22,55
SULAWESI BARAT,MAMASA,BAMBANG,RANTELEMO,15,15,64,3,0,7,1,11,0,10,74
SULAWESI BARAT,MAMASA,BAMBANG,RANTETARIMA,7,4,40,0,0,0,0,3,0,16,40
SULAWESI BARAT,MAMASA,BAMBANG,SALUASSING,32,39,156,6,0,1,0,24,3,59,130
SULAWESI BARAT,MAMASA,BAMBANG,SALUBULO,19,28,86,4,0,0,0,20,1,20,71
SULAWESI BARAT,MAMASA,BAMBANG,SALUDENGEN,16,16,58,1,6,10,0,15,0,17,43
SULAWESI BARAT,MAMASA,BAMBANG,SALUKADI,26,21,112,4,0,1,2,17,0,21,104
SULAWESI BARAT,MAMASA,BAMBANG,SALUKEPOPOK,19,48,151,4,0,3,3,28,0,38,127
SULAWESI BARAT,MAMASA,BAMBANG,SALURURU,9,10,41,3,0,0,0,3,0,10,41
SULAWESI BARAT,MAMASA,BAMBANG,SALUTABANG,10,7,43,2,0,7,0,7,1,14,42
SULAWESI BARAT,MAMASA,BAMBANG,SIKAMASE,10,22,66,11,3,13,1,10,5,19,58
SULAWESI BARAT,MAMASA,BAMBANG,TANETE TOMBA,7,26,79,1,0,0,2,7,1,5,72
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI,31,37,101,8,0,20,1,16,8,40,83
SULAWESI BARAT,MAMASA,BAMBANG,ULUMAMBI BARAT,21,24,82,1,1,7,0,11,0,20,65
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,ARALLE TIMUR,33,48,122,12,123,47,4,12,1,36,4
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,BUNTUMALANGKA,33,32,158,8,1,7,3,29,0,48,149
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KABAE,19,20,103,6,8,30,2,25,1,20,94
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,KEBANGA,29,36,87,11,15,33,2,12,8,40,67
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,PENATANGAN,56,66,161,18,8,68,6,32,13,79,143
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,RANTEBERAN,39,55,153,6,3,75,0,29,1,66,144
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALURINDU,10,30,73,7,2,5,0,13,2,31,69
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN,12,10,56,1,27,3,1,10,0,13,26
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN BARAT,13,21,90,1,34,8,0,13,3,21,54
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,SALUTAMBUN TIMUR,17,16,74,3,4,3,1,12,1,14,71
SULAWESI BARAT,MAMASA,BUNTUMALANGKA,TAORA,15,16,70,2,0,0,0,10,0,19,66
SULAWESI BARAT,MAMASA,MAMASA,BOMBONG LAMBE,28,44,233,3,1,2,3,60,10,71,158
SULAWESI BARAT,MAMASA,MAMASA,BUBUN BATU,12,27,160,3,3,30,2,44,2,42,107
SULAWESI BARAT,MAMASA,MAMASA,BUNTU BUDA,63,82,404,12,0,0,6,94,6,117,341
SULAWESI BARAT,MAMASA,MAMASA,LAMBANAN,31,69,272,8,42,8,4,59,2,97,162
SULAWESI BARAT,MAMASA,MAMASA,LEMBANA SALULO,17,29,105,3,1,8,1,24,1,28,94
SULAWESI BARAT,MAMASA,MAMASA,MAMASA,47,107,432,7,1,73,1,121,5,153,607
SULAWESI BARAT,MAMASA,MAMASA,MAMBULILING,25,47,164,1,14,29,0,33,3,37,154
SULAWESI BARAT,MAMASA,MAMASA,OSANGO,64,149,577,13,20,143,1,164,3,192,497
SULAWESI BARAT,MAMASA,MAMASA,PEBASSIAN,9,33,84,7,0,3,1,21,0,11,78
SULAWESI BARAT,MAMASA,MAMASA,RAMBUSARATU,50,87,310,7,1,4,0,77,2,106,301
SULAWESI BARAT,MAMASA,MAMASA,TAUPE,42,87,313,4,28,1,6,75,3,89,113
SULAWESI BARAT,MAMASA,MAMASA,TONDOK BAKARU,46,93,353,12,5,0,3,78,3,98,331
SULAWESI BARAT,MAMASA,MAMBI,BUJUNG MANURUNG,11,10,73,4,0,4,0,5,1,21,39
SULAWESI BARAT,MAMASA,MAMBI,INDOBANUA,14,17,76,0,4,10,3,10,5,23,31
SULAWESI BARAT,MAMASA,MAMBI,MAMBI,42,47,217,3,2,0,2,50,5,84,151
SULAWESI BARAT,MAMASA,MAMBI,PAMOSEAN,10,20,82,1,33,8,6,9,1,33,32
SULAWESI BARAT,MAMASA,MAMBI,RANTEBULAHAN,23,28,100,5,35,36,2,20,5,31,48
SULAWESI BARAT,MAMASA,MAMBI,SALU ALO,23,36,145,5,47,20,2,18,1,50,76
SULAWESI BARAT,MAMASA,MAMBI,SALUBANUA,9,19,52,3,1,1,1,10,2,28,47
SULAWESI BARAT,MAMASA,MAMBI,SALUDURIAN,26,38,152,6,36,1,1,19,6,51,82
SULAWESI BARAT,MAMASA,MAMBI,SELUMAKA,13,45,170,3,5,4,0,38,4,75,155
SULAWESI BARAT,MAMASA,MAMBI,SENDANA,12,55,230,0,55,0,0,38,1,74,153
SULAWESI BARAT,MAMASA,MAMBI,SONDONGLAYU,22,31,88,0,32,1,0,15,4,36,43
SULAWESI BARAT,MAMASA,MAMBI,TALIPUKKI,48,72,208,9,61,11,2,38,4,84,119
SULAWESI BARAT,MAMASA,MAMBI,TAPALINA,19,39,143,5,55,14,1,26,8,43,80
SULAWESI BARAT,MAMASA,MEHALAAN,BOTTENG,21,27,85,1,6,6,0,9,2,28,62
SULAWESI BARAT,MAMASA,MEHALAAN,KONDO,11,15,47,0,22,1,0,13,0,22,23
SULAWESI BARAT,MAMASA,MEHALAAN,LEKO SUKAMAJU,4,6,38,0,21,1,0,7,1,18,16
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN,16,15,68,3,2,0,1,7,0,11,59
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN BARAT,22,24,113,4,15,1,0,23,0,22,93
SULAWESI BARAT,MAMASA,MEHALAAN,MESAKADA,27,18,89,3,2,7,2,15,0,26,75
SULAWESI BARAT,MAMASA,MEHALAAN,PASSEMBUK,5,21,53,0,9,0,1,13,0,14,33
SULAWESI BARAT,MAMASA,MEHALAAN,SALUAHOK,16,18,88,5,1,0,0,15,1,32,55
SULAWESI BARAT,MAMASA,MEHALAAN,SALUBALO,12,15,56,2,3,47,1,11,2,15,53
SULAWESI BARAT,MAMASA,MEHALAAN,SALUKONTA,11,15,72,4,1,5,1,13,0,24,67
SULAWESI BARAT,MAMASA,MEHALAAN,ULUMEA,3,16,33,1,0,13,0,7,0,8,34
SULAWESI BARAT,MAMASA,MESSAWA,MAKUANG,19,36,146,5,1,29,2,31,2,46,120
SULAWESI BARAT,MAMASA,MESSAWA,MALIMBONG,2,13,67,0,0,1,4,11,1,16,63
SULAWESI BARAT,MAMASA,MESSAWA,MATANDE,1,16,91,0,0,0,0,16,1,22,90
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,0,8,65,2,0,6,0,20,0,19,52
SULAWESI BARAT,MAMASA,MESSAWA,PASMA MAMBU,0,6,71,3,0,2,0,16,0,25,61
SULAWESI BARAT,MAMASA,MESSAWA,RIPPUNG,0,35,187,0,0,3,1,43,1,66,185
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,0,13,90,0,1,4,1,23,0,26,88
SULAWESI BARAT,MAMASA,MESSAWA,SIPAI,15,33,130,0,0,10,1,21,5,68,89
SULAWESI BARAT,MAMASA,MESSAWA,TANETE BATU,4,8,68,0,0,0,0,18,2,14,62
SULAWESI BARAT,MAMASA,NOSU,BATUPAPAN,0,24,123,2,4,15,0,28,2,72,79
SULAWESI BARAT,MAMASA,NOSU,MASEWWE,3,22,116,6,1,98,0,32,2,57,70
SULAWESI BARAT,MAMASA,NOSU,MINANGA,7,12,42,2,0,1,0,4,1,20,30
SULAWESI BARAT,MAMASA,NOSU,MINANGA TIMUR,1,12,60,0,13,1,0,16,1,23,13
SULAWESI BARAT,MAMASA,NOSU,NOSU,10,29,120,4,9,1,0,29,3,54,150
SULAWESI BARAT,MAMASA,NOSU,PARINDING,2,14,45,0,4,9,0,10,2,15,29
SULAWESI BARAT,MAMASA,NOSU,SIWI,11,15,53,1,9,2,0,7,2,22,25
SULAWESI BARAT,MAMASA,PANA,DATUBARINGAN,6,15,126,1,74,50,0,31,1,63,48
SULAWESI BARAT,MAMASA,PANA,KARAKA,0,17,83,2,2,32,0,23,1,34,56
SULAWESI BARAT,MAMASA,PANA,MAMULLU,9,17,90,3,61,16,0,23,0,39,25
SULAWESI BARAT,MAMASA,PANA,MANIPI,20,41,176,3,32,75,4,54,2,95,112
SULAWESI BARAT,MAMASA,PANA,PANA,5,22,82,6,0,9,0,22,1,35,80
SULAWESI BARAT,MAMASA,PANA,PANURA,1,13,82,5,0,75,0,22,0,38,73
SULAWESI BARAT,MAMASA,PANA,SALOAN,19,44,117,1,6,102,2,31,1,51,108
SULAWESI BARAT,MAMASA,PANA,SALUTAMBUN,5,20,70,3,2,53,0,20,0,46,55
SULAWESI BARAT,MAMASA,PANA,SAPAN,10,13,74,1,2,47,1,21,2,36,62
SULAWESI BARAT,MAMASA,PANA,TALLANG BULAWAN,7,19,85,2,3,29,0,24,2,50,53
SULAWESI BARAT,MAMASA,PANA,ULUSALU,0,10,76,0,2,70,0,15,2,40,66
SULAWESI BARAT,MAMASA,PANA,ULUSALU INDAH,13,18,71,5,8,26,0,22,2,36,38
SULAWESI BARAT,MAMASA,PANA,WERI,9,18,69,1,0,51,0,14,2,34,65
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BAMBANG BUDA,21,41,166,3,12,22,0,33,4,25,138
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BUANGIN,6,35,147,3,13,45,0,27,0,49,105
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,KIRAK,18,34,109,2,24,60,2,14,4,37,66
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,LEKO,7,8,45,0,11,3,2,8,0,8,15
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN,25,40,141,4,30,34,7,29,4,45,92
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN BARAT,11,39,140,4,42,43,0,26,0,49,83
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN UTARA,23,25,146,0,16,4,2,22,0,51,103
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SAMPALE,2,10,63,2,26,19,0,11,0,13,21
SULAWESI BARAT,MAMASA,SESENAPADANG,LISUAN ADA,16,23,99,3,2,30,1,11,1,31,74
SULAWESI BARAT,MAMASA,SESENAPADANG,MALANGKENA PADANG,8,21,106,4,1,53,1,17,0,31,80
SULAWESI BARAT,MAMASA,SESENAPADANG,MALIMBONG,6,13,34,2,0,7,0,3,1,12,28
SULAWESI BARAT,MAMASA,SESENAPADANG,MARAMPAN OROBUA,7,22,54,2,0,0,0,8,0,21,24
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA,38,67,273,7,8,76,2,55,1,103,226
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA SELATAN,12,22,101,3,12,12,1,16,0,40,36
SULAWESI BARAT,MAMASA,SESENAPADANG,OROBUA TIMUR,14,11,65,0,0,15,0,12,0,24,37
SULAWESI BARAT,MAMASA,SESENAPADANG,PALADAN,26,33,112,4,12,11,1,20,3,25,71
SULAWESI BARAT,MAMASA,SESENAPADANG,RANTE PUANG,22,44,164,3,2,12,3,36,2,57,123
SULAWESI BARAT,MAMASA,SESENAPADANG,SATENETEAN,7,13,66,3,3,10,1,13,0,29,25
SULAWESI BARAT,MAMASA,SUMARORONG,BANEA,12,19,88,3,28,0,0,24,1,43,29
SULAWESI BARAT,MAMASA,SUMARORONG,BATANG  URU,11,23,123,3,0,1,0,31,0,53,106
SULAWESI BARAT,MAMASA,SUMARORONG,BATANGNGURU TIMUR,14,38,139,2,0,20,0,32,5,60,111
SULAWESI BARAT,MAMASA,SUMARORONG,RANTE KAMASE,19,54,207,3,2,18,0,53,0,77,184
SULAWESI BARAT,MAMASA,SUMARORONG,SALUBALO,26,48,157,4,12,1,1,29,2,53,113
SULAWESI BARAT,MAMASA,SUMARORONG,SASAKAN,28,62,209,10,2,3,1,52,7,82,100
SULAWESI BARAT,MAMASA,SUMARORONG,SIBANAWA,18,30,141,1,1,2,1,34,3,71,91
SULAWESI BARAT,MAMASA,SUMARORONG,SUMARORONG,14,40,224,10,1,0,0,74,3,71,195
SULAWESI BARAT,MAMASA,SUMARORONG,TABONE,21,39,137,2,7,1,2,26,3,56,111
