PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAMASA,SUMARORONG,TADISI,15,22,65,3,0,1,0,11,3,11,49
SULAWESI BARAT,MAMASA,TABANG,BAKADISURA,15,56,168,3,18,5,2,29,7,55,79
SULAWESI BARAT,MAMASA,TABANG,KALAMA,0,12,95,0,32,6,0,11,1,54,40
SULAWESI BARAT,MAMASA,TABANG,MASUPU,0,12,92,3,31,0,1,19,0,32,51
SULAWESI BARAT,MAMASA,TABANG,SALUKONA,0,27,111,9,1,0,0,18,0,36,96
SULAWESI BARAT,MAMASA,TABANG,TABANG,1,26,159,0,45,0,0,46,0,53,91
SULAWESI BARAT,MAMASA,TABANG,TABANG BARAT,9,48,302,0,28,143,0,73,0,106,162
SULAWESI BARAT,MAMASA,TABANG,TADOKALUA,17,24,135,5,28,40,4,28,0,42,83
SULAWESI BARAT,MAMASA,TABULAHAN,BURANA,1,20,134,1,12,1,0,39,0,47,88
SULAWESI BARAT,MAMASA,TABULAHAN,GANDANG DEWATA,1,8,41,5,1,6,1,7,0,6,20
SULAWESI BARAT,MAMASA,TABULAHAN,LAKAHANG,13,72,330,5,78,10,1,72,3,95,127
SULAWESI BARAT,MAMASA,TABULAHAN,LAKAHANG UTAMA,3,16,108,7,2,7,0,28,0,33,83
SULAWESI BARAT,MAMASA,TABULAHAN,MALATIRO,2,44,187,3,6,33,1,47,1,80,169
SULAWESI BARAT,MAMASA,TABULAHAN,PANGANDARAN,7,28,178,2,72,7,1,40,4,21,84
SULAWESI BARAT,MAMASA,TABULAHAN,PERIANGAN,7,18,95,0,22,3,0,17,2,26,53
SULAWESI BARAT,MAMASA,TABULAHAN,PEU',0,10,51,0,5,0,0,10,0,21,47
SULAWESI BARAT,MAMASA,TABULAHAN,SALUBAKKA,15,34,115,5,1,21,0,20,2,17,106
SULAWESI BARAT,MAMASA,TABULAHAN,SALULEANG,1,9,53,2,6,2,1,12,0,18,26
SULAWESI BARAT,MAMASA,TABULAHAN,TABULAHAN,10,17,65,0,49,0,1,12,0,24,18
SULAWESI BARAT,MAMASA,TABULAHAN,TALOPAK,2,7,59,1,0,0,0,12,1,12,38
SULAWESI BARAT,MAMASA,TABULAHAN,TAMPAK KURRA,28,68,252,0,15,11,2,43,5,59,185
SULAWESI BARAT,MAMASA,TABULAHAN,TIMORO,6,6,44,2,5,40,1,8,1,15,36
SULAWESI BARAT,MAMASA,TANDUK KALUA,BALLABATU,23,41,203,3,28,60,1,33,2,48,117
SULAWESI BARAT,MAMASA,TANDUK KALUA,KANAN,24,35,154,5,12,54,1,42,1,49,112
SULAWESI BARAT,MAMASA,TANDUK KALUA,MALABO,6,12,65,2,0,7,0,14,2,22,43
SULAWESI BARAT,MAMASA,TANDUK KALUA,MANNABABA,9,20,96,5,14,19,0,23,0,28,45
SULAWESI BARAT,MAMASA,TANDUK KALUA,MESAKADA,11,34,140,2,19,30,0,24,0,49,120
SULAWESI BARAT,MAMASA,TANDUK KALUA,MINAKE,10,21,141,1,24,12,2,44,1,45,85
SULAWESI BARAT,MAMASA,TANDUK KALUA,PAMBE,9,24,104,2,5,9,1,27,1,29,75
SULAWESI BARAT,MAMASA,TANDUK KALUA,PARONDOBULAWAN,14,29,139,5,0,21,0,31,1,49,70
SULAWESI BARAT,MAMASA,TANDUK KALUA,SALURANO,8,14,97,2,44,3,0,21,0,26,45
SULAWESI BARAT,MAMASA,TANDUK KALUA,SINDAGAMANIK,5,38,183,7,1,52,0,48,0,44,123
SULAWESI BARAT,MAMASA,TANDUK KALUA,TALIMBUNG,14,24,115,1,0,39,0,27,1,28,58
SULAWESI BARAT,MAMASA,TANDUK KALUA,TAMALANTIK,21,61,208,2,109,29,4,42,3,58,75
SULAWESI BARAT,MAMASA,TAWALIAN,KARIANGO,1,26,287,0,3,1,0,51,1,78,180
SULAWESI BARAT,MAMASA,TAWALIAN,RANTETANGNGA,33,76,209,4,21,56,2,39,2,70,180
SULAWESI BARAT,MAMASA,TAWALIAN,TAWALIAN,24,61,361,0,58,11,2,109,5,126,223
SULAWESI BARAT,MAMASA,TAWALIAN,TAWALIAN TIMUR,15,60,239,2,26,17,2,50,4,84,70
SULAWESI BARAT,MAMUJU,BONEHAU,BANUADA,16,37,141,7,2,0,0,27,2,47,125
SULAWESI BARAT,MAMUJU,BONEHAU,BONEHAU,61,96,323,7,24,0,4,74,8,47,199
SULAWESI BARAT,MAMUJU,BONEHAU,BUTTUADA,17,51,233,5,127,0,1,51,1,74,98
SULAWESI BARAT,MAMUJU,BONEHAU,HINUA,12,23,121,4,18,2,1,25,2,26,81
SULAWESI BARAT,MAMUJU,BONEHAU,KINATANG,15,21,128,7,45,7,4,21,0,34,53
SULAWESI BARAT,MAMUJU,BONEHAU,LUMIKA,7,37,176,2,30,1,2,37,3,56,120
SULAWESI BARAT,MAMUJU,BONEHAU,MAPPU,15,19,102,2,38,6,0,18,2,36,42
SULAWESI BARAT,MAMUJU,BONEHAU,SALUTIWO,30,31,142,5,25,4,2,38,2,47,74
SULAWESI BARAT,MAMUJU,BONEHAU,TAMALEA,9,29,69,3,23,17,1,9,2,30,40
SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,163,423,1170,22,182,6,22,260,28,517,882
SULAWESI BARAT,MAMUJU,KALUKKU,BELANG BELANG,102,186,592,26,12,3,12,137,5,236,582
SULAWESI BARAT,MAMUJU,KALUKKU,BERU-BERU,127,296,910,29,21,37,4,203,21,311,744
SULAWESI BARAT,MAMUJU,KALUKKU,GULILING,49,80,254,8,3,4,5,51,6,108,226
SULAWESI BARAT,MAMUJU,KALUKKU,KABULOANG,108,210,588,21,5,60,5,149,21,241,618
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU,102,214,756,26,14,18,7,185,7,276,792
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU BARAT,72,159,677,7,48,18,2,171,4,218,594
SULAWESI BARAT,MAMUJU,KALUKKU,KEANG,8,99,520,2,38,23,5,107,7,180,312
SULAWESI BARAT,MAMUJU,KALUKKU,PAMMULUKANG,47,86,293,2,20,58,8,57,9,139,222
SULAWESI BARAT,MAMUJU,KALUKKU,POKKANG,40,110,350,10,20,8,2,70,3,147,271
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI,115,246,848,16,95,34,1,184,12,353,453
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI SELATAN,49,162,621,18,33,66,4,157,6,250,443
SULAWESI BARAT,MAMUJU,KALUKKU,SONDOANG,48,110,420,16,17,0,7,99,3,179,272
SULAWESI BARAT,MAMUJU,KALUKKU,UHAIMATE,24,44,151,0,44,2,4,27,8,62,77
SULAWESI BARAT,MAMUJU,KALUMPANG,BATU MAKKADA,2,26,137,4,59,0,0,32,0,56,3
SULAWESI BARAT,MAMUJU,KALUMPANG,KALUMPANG,18,33,74,2,0,0,1,16,2,26,64
SULAWESI BARAT,MAMUJU,KALUMPANG,KARAMA,17,44,171,5,47,0,3,29,2,67,66
SULAWESI BARAT,MAMUJU,KALUMPANG,KARATAUN,11,54,313,1,256,3,1,71,2,108,43
SULAWESI BARAT,MAMUJU,KALUMPANG,KONDO BULO,11,51,136,2,117,51,0,32,0,49,22
SULAWESI BARAT,MAMUJU,KALUMPANG,LASA',5,24,190,4,42,20,0,30,0,34,113
SULAWESI BARAT,MAMUJU,KALUMPANG,LIMBONG,1,21,114,4,8,1,2,31,0,55,51
SULAWESI BARAT,MAMUJU,KALUMPANG,MAKKALIKI,3,34,95,1,74,1,2,16,1,43,8
SULAWESI BARAT,MAMUJU,KALUMPANG,POLIO,9,27,115,5,30,3,1,25,0,38,7
SULAWESI BARAT,MAMUJU,KALUMPANG,SALUMAKKI,11,23,132,1,128,0,6,31,0,46,3
SULAWESI BARAT,MAMUJU,KALUMPANG,SANDAPANG,3,22,111,3,5,9,0,23,0,51,21
SULAWESI BARAT,MAMUJU,KALUMPANG,SIRAUN,5,12,118,1,55,0,2,17,0,26,66
SULAWESI BARAT,MAMUJU,KALUMPANG,TUMOGA,20,27,126,3,42,1,0,43,0,52,43
SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA BALAKANG,27,65,281,2,244,97,2,82,6,127,32
SULAWESI BARAT,MAMUJU,KEP. BALA BALAKANG,BALA-BALAKANG TIMUR,19,35,135,4,124,12,3,23,1,54,18
SULAWESI BARAT,MAMUJU,MAMUJU,BAMBU,86,230,580,19,12,29,9,133,20,247,426
SULAWESI BARAT,MAMUJU,MAMUJU,BATU PANNU,22,97,239,1,43,1,5,52,2,83,123
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,174,514,2043,13,10,299,22,491,36,648,1589
SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,65,166,522,14,1,18,5,132,3,177,457
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,134,310,1611,58,32,52,23,411,23,524,1132
SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,89,302,967,20,134,16,8,244,11,368,497
SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,98,308,1275,18,6,3,11,357,16,468,889
SULAWESI BARAT,MAMUJU,MAMUJU,TADUI,125,219,587,34,25,21,22,117,11,231,543
SULAWESI BARAT,MAMUJU,PAPALANG,BATU AMPA,34,60,219,13,2,0,1,48,4,105,168
SULAWESI BARAT,MAMUJU,PAPALANG,BODA-BODA,37,74,257,8,24,46,2,54,4,77,201
SULAWESI BARAT,MAMUJU,PAPALANG,BONDA,37,136,447,21,3,0,0,98,13,191,287
SULAWESI BARAT,MAMUJU,PAPALANG,PAPALANG,112,238,797,15,18,460,9,188,11,328,541
SULAWESI BARAT,MAMUJU,PAPALANG,SALUKAYU,61,107,338,13,25,18,1,74,6,123,256
SULAWESI BARAT,MAMUJU,PAPALANG,SISANGO,24,30,146,7,23,4,2,33,0,34,108
SULAWESI BARAT,MAMUJU,PAPALANG,SUKADAMAI,16,35,140,7,5,9,3,36,1,35,116
SULAWESI BARAT,MAMUJU,PAPALANG,TOABO,151,200,835,22,15,38,19,190,6,151,740
SULAWESI BARAT,MAMUJU,PAPALANG,TOPORE,29,55,470,3,35,1,1,122,3,175,309
SULAWESI BARAT,MAMUJU,SAMPAGA,BUNDE,117,189,791,37,4,11,14,184,7,166,720
SULAWESI BARAT,MAMUJU,SAMPAGA,KALONDING,81,127,554,21,131,9,14,130,2,84,393
SULAWESI BARAT,MAMUJU,SAMPAGA,LOSSO,26,50,175,4,1,1,2,35,4,52,171
SULAWESI BARAT,MAMUJU,SAMPAGA,SALUBARANA,17,38,119,2,5,2,2,22,2,34,131
SULAWESI BARAT,MAMUJU,SAMPAGA,SAMPAGA,52,81,252,14,30,13,7,46,5,87,178
SULAWESI BARAT,MAMUJU,SAMPAGA,TANAMBUAH,13,23,103,3,0,7,0,19,2,20,150
SULAWESI BARAT,MAMUJU,SAMPAGA,TARAILU,71,136,552,12,4,0,6,135,6,145,452
SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG,54,119,341,12,10,8,5,76,6,118,278
SULAWESI BARAT,MAMUJU,SIMBORO,BOTTENG UTARA,94,167,469,34,115,178,35,91,11,139,309
SULAWESI BARAT,MAMUJU,SIMBORO,PATI'DI,22,55,314,6,80,13,7,61,6,105,148
SULAWESI BARAT,MAMUJU,SIMBORO,RANGAS,143,278,901,30,23,12,29,195,13,301,684
SULAWESI BARAT,MAMUJU,SIMBORO,SALETTO,101,209,532,34,78,76,11,101,18,207,360
SULAWESI BARAT,MAMUJU,SIMBORO,SIMBORO,295,970,3044,35,3,75,7,876,54,941,2238
SULAWESI BARAT,MAMUJU,SIMBORO,SUMARE,41,107,414,11,12,84,6,72,3,145,264
SULAWESI BARAT,MAMUJU,SIMBORO,TAPANDULLU,31,35,127,2,0,0,4,28,4,46,79
SULAWESI BARAT,MAMUJU,TAPALANG,BELA,13,42,84,3,4,0,2,17,5,47,38
SULAWESI BARAT,MAMUJU,TAPALANG,DAYANGINNA,56,94,281,16,7,0,5,59,4,98,171
SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,91,153,464,25,77,17,9,108,13,202,273
SULAWESI BARAT,MAMUJU,TAPALANG,KASAMBANG,87,127,420,8,60,12,8,102,10,182,257
SULAWESI BARAT,MAMUJU,TAPALANG,KOPEANG,8,22,100,0,0,11,5,21,2,48,47
SULAWESI BARAT,MAMUJU,TAPALANG,OROBATU,35,63,176,7,56,0,2,50,4,75,90
SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,46,57,170,6,63,33,12,45,11,88,39
SULAWESI BARAT,MAMUJU,TAPALANG,TAAN,88,173,482,23,38,52,13,123,14,260,216
SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,85,145,392,9,16,48,10,75,22,165,212
SULAWESI BARAT,MAMUJU,TAPALANG,TAMPALANG,62,120,374,13,76,15,11,78,13,170,174
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,AHU,81,99,257,14,7,73,13,56,10,124,178
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,DUNGKAIT,72,132,365,14,20,2,11,80,8,160,288
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LABUANG RANO,96,199,513,19,19,8,12,99,17,255,226
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,LEBANI,70,101,243,6,64,1,2,44,21,126,140
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PANGASAAN,18,21,153,4,4,13,4,38,2,70,36
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,PASABU,79,115,294,21,25,16,4,64,4,144,213
SULAWESI BARAT,MAMUJU,TAPALANG BARAT,TANETE PAO,13,16,66,3,9,29,0,19,4,26,29
SULAWESI BARAT,MAMUJU,TOMMO,BUANA SAKTI,50,74,295,13,60,0,9,59,2,58,205
SULAWESI BARAT,MAMUJU,TOMMO,CAMPALOGA,58,101,446,16,131,3,17,102,14,148,212
SULAWESI BARAT,MAMUJU,TOMMO,KAKULLASANG,41,103,550,11,243,28,2,130,7,204,237
SULAWESI BARAT,MAMUJU,TOMMO,KALEPU,25,37,118,5,1,1,5,23,5,25,94
SULAWESI BARAT,MAMUJU,TOMMO,LELING,33,56,189,12,1,0,5,34,4,38,155
SULAWESI BARAT,MAMUJU,TOMMO,LELING BARAT,37,71,256,5,19,1,5,46,8,89,188
SULAWESI BARAT,MAMUJU,TOMMO,LELING UTARA,62,97,316,9,85,1,2,78,4,102,132
SULAWESI BARAT,MAMUJU,TOMMO,MALINO,22,32,116,7,13,3,6,23,5,33,69
SULAWESI BARAT,MAMUJU,TOMMO,RANTEMARIO,32,67,218,9,1,2,2,39,0,61,213
SULAWESI BARAT,MAMUJU,TOMMO,SALUDENGEN,42,51,194,6,58,24,3,37,4,76,90
SULAWESI BARAT,MAMUJU,TOMMO,SANDANA,39,51,203,6,56,10,2,49,7,65,111
SULAWESI BARAT,MAMUJU,TOMMO,TAMEJARRA,50,56,293,10,10,8,4,76,8,112,198
SULAWESI BARAT,MAMUJU,TOMMO,TAMEMONGGA,4,53,294,3,83,1,1,62,2,85,184
SULAWESI BARAT,MAMUJU,TOMMO,TOMMO,29,76,368,5,5,1,5,78,5,88,305
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BABANA,146,363,1288,20,104,26,15,288,18,442,855
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BARAKKANG,28,68,288,12,34,2,4,56,1,115,194
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,BOJO,53,78,341,8,43,44,4,69,3,107,254
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,KIRE,40,81,342,9,52,3,3,85,7,125,270
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LEMBAH HADA,6,18,110,4,41,18,1,29,2,29,53
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,LUMU,86,141,414,24,15,23,16,87,9,159,344
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PASAPA,30,63,256,1,60,10,4,48,2,95,155
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,PONTANAKAYANG,78,161,618,34,546,4,16,129,4,132,65
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALOGATTA,104,213,648,29,31,0,11,146,2,129,534
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,SALUMANURUNG,29,82,298,8,28,32,3,68,7,81,230
SULAWESI BARAT,MAMUJU TENGAH,BUDONG-BUDONG,TINALI,47,96,315,12,42,6,9,82,2,76,250
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,BENGGAULU,86,114,401,18,69,7,16,75,8,111,263
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KADAILA,61,88,304,9,0,9,3,54,5,80,258
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAMBUNONG,94,149,415,31,14,21,5,78,10,183,282
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAROSSA,104,241,978,17,4,2,5,278,9,383,1069
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,KAYU CALLA,31,25,123,3,0,2,11,17,0,19,108
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LARA,20,55,257,8,0,5,1,52,5,112,237
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,LEMBAH HOPO,58,89,214,13,15,3,9,46,4,91,149
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SALUBIRO,38,78,223,16,0,7,8,42,8,85,191
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SANJANGO,13,45,173,4,9,0,0,33,4,53,133
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,SUKA MAJU,62,86,247,11,0,0,7,54,10,87,186
SULAWESI BARAT,MAMUJU TENGAH,KAROSSA,TASOKKO,141,257,742,24,49,8,15,173,29,350,523
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KOMBILING,55,97,281,9,0,1,5,58,6,105,205
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,KUO,80,117,471,19,3,1,3,111,2,101,408
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LAMBA-LAMBA,27,72,184,12,0,0,3,33,4,57,169
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,LEMO-LEMO,34,45,146,11,0,1,4,33,4,32,139
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,PANGALE,39,83,264,5,32,0,5,55,6,102,194
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO CAMBA,22,61,178,5,1,6,3,31,3,37,139
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO LERENG,49,100,310,11,9,18,4,66,3,80,251
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,POLO PANGALE,39,90,311,4,1,0,1,64,4,68,440
SULAWESI BARAT,MAMUJU TENGAH,PANGALE,SARTANAMAJU,32,50,119,4,4,1,1,20,2,28,87
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BAMBADARU,45,68,258,7,38,16,5,60,2,73,214
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,BATU PARIGI,138,281,1126,22,383,44,14,236,10,335,626
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,MAHAHE,93,133,569,15,12,1,8,131,6,144,487
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,PALONGAAN,79,116,446,14,104,27,4,105,3,104,265
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOADAK,54,86,404,8,63,16,7,84,2,100,291
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SALOBAJA,82,136,452,18,24,26,10,78,4,99,406
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,SEJATI,40,53,158,7,8,34,5,29,2,63,134
SULAWESI BARAT,MAMUJU TENGAH,TOBADAK,TOBADAK,186,442,1630,60,124,150,15,354,20,465,1201
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BAMBAMANURUNG,25,37,171,4,0,0,2,40,0,36,168
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,BUDONG-BUDONG,77,115,408,24,36,10,6,100,6,148,321
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,KABUBU,65,80,325,19,3,1,1,74,5,86,303
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PANGALLOANG,69,122,317,14,6,43,13,78,10,110,247
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,PARAILI,48,92,278,15,2,0,0,58,5,71,245
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALULEKBO,38,114,620,6,175,10,7,138,7,183,245
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG,70,90,346,13,39,0,3,72,1,51,299
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SALUPANGKANG IV,21,30,87,1,1,15,2,20,0,22,73
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,SINABATTA,34,58,190,5,24,20,4,36,6,68,139
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TABOLANG,162,229,702,30,0,6,16,139,16,208,747
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TANGKOU,25,44,153,8,0,0,1,36,0,34,180
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TAPPILINA,20,54,157,5,0,0,1,27,1,25,194
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TOPOYO,133,388,1692,23,7,40,9,438,18,440,1290
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,TUMBU,48,148,474,9,12,143,7,102,8,184,377
SULAWESI BARAT,MAMUJU TENGAH,TOPOYO,WAEPUTEH,55,96,377,14,2,0,1,100,3,66,342
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,BAMBAIRA,87,156,503,22,117,41,20,117,11,181,349
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KALUKU NANGKA,104,153,493,35,94,36,14,106,11,200,287
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,KASOLOANG,71,97,343,7,51,3,7,87,8,137,238
SULAWESI BARAT,PASANGKAYU,BAMBAIRA,TAMPAURE,53,103,361,14,163,11,25,75,7,126,157
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,BAMBALAMOTU,124,216,736,23,75,58,18,162,15,294,444
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,KALOLA,128,180,646,27,265,14,16,137,12,254,329
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,PANGIANG,60,110,375,15,106,3,12,81,6,137,279
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,POLEWALI,79,179,586,26,89,24,9,146,13,203,485
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,RANDOMAYANG,127,223,694,24,50,58,10,194,11,299,442
SULAWESI BARAT,PASANGKAYU,BAMBALAMOTU,WULAI,19,69,406,17,225,52,13,88,9,112,142
SULAWESI BARAT,PASANGKAYU,BARAS,BALANTI,69,123,531,19,6,1,5,107,5,142,485
SULAWESI BARAT,PASANGKAYU,BARAS,BARAS,53,95,368,18,0,1,5,89,8,135,256
SULAWESI BARAT,PASANGKAYU,BARAS,BULU PARIGI,25,61,319,3,17,1,1,68,6,118,229
SULAWESI BARAT,PASANGKAYU,BARAS,KASANO,72,153,606,18,4,14,13,134,5,186,594
SULAWESI BARAT,PASANGKAYU,BARAS,MOTU,104,225,973,16,42,111,5,250,14,294,702
SULAWESI BARAT,PASANGKAYU,BARAS,TOWONI,37,52,215,11,3,14,3,50,3,68,153
SULAWESI BARAT,PASANGKAYU,BULU TABA,BUKIT HARAPAN,26,59,217,11,25,5,4,56,5,84,141
SULAWESI BARAT,PASANGKAYU,BULU TABA,KARAVE,77,127,434,19,9,4,5,113,6,134,358
SULAWESI BARAT,PASANGKAYU,BULU TABA,KASTABUANA,50,77,274,10,0,3,8,66,3,85,242
SULAWESI BARAT,PASANGKAYU,BULU TABA,LELEJAE,49,61,249,7,0,0,3,62,2,82,222
SULAWESI BARAT,PASANGKAYU,BULU TABA,LILIMORI,90,160,529,17,5,0,10,125,9,176,413
SULAWESI BARAT,PASANGKAYU,BULU TABA,OMPI,17,39,135,2,16,0,3,26,2,46,28
SULAWESI BARAT,PASANGKAYU,BULU TABA,SUMBER SARI,7,17,42,2,0,2,0,7,0,11,43
SULAWESI BARAT,PASANGKAYU,DAPURANG,BENGGAULU,16,128,519,13,56,23,1,133,6,212,299
SULAWESI BARAT,PASANGKAYU,DAPURANG,BULU BONGGU,37,78,400,12,10,1,7,97,3,175,227
SULAWESI BARAT,PASANGKAYU,DAPURANG,DAPURANG,90,226,726,18,5,4,6,190,19,263,552
